T 	 M 	 +-M 	 E 	 +-E 
0.050000 	 0.987135 	 0.013432 	 -2.982946 	 0.013432 
0.100000 	 0.123396 	 0.069625 	 -2.786981 	 0.069625 
0.150000 	 0.159029 	 0.009182 	 -2.780358 	 0.009182 
0.200000 	 0.732438 	 0.006287 	 -2.872399 	 0.006287 
0.250000 	 0.762618 	 0.046758 	 -2.870699 	 0.046758 
0.300000 	 0.398275 	 0.006287 	 -2.779971 	 0.006287 
0.350000 	 0.789911 	 0.032310 	 -2.853670 	 0.032310 
0.400000 	 0.073601 	 0.012234 	 -2.755374 	 0.012234 
0.450000 	 0.315509 	 0.018310 	 -2.801764 	 0.018310 
0.500000 	 0.603726 	 0.025099 	 -2.844382 	 0.025099 
0.550000 	 0.999939 	 0.000066 	 -2.999636 	 0.000066 
0.600000 	 0.732329 	 0.042639 	 -2.877513 	 0.042639 
0.650000 	 0.837796 	 0.139596 	 -2.919921 	 0.139596 
0.700000 	 0.066822 	 0.044792 	 -2.785150 	 0.044792 
0.750000 	 0.999940 	 0.000067 	 -2.999638 	 0.000067 
0.800000 	 0.957989 	 0.109274 	 -2.978191 	 0.109274 
0.850000 	 0.999938 	 0.000068 	 -2.999630 	 0.000068 
0.900000 	 0.648356 	 0.006545 	 -2.865204 	 0.006545 
0.950000 	 0.999939 	 0.000066 	 -2.999631 	 0.000066 
1.000000 	 0.999939 	 0.000067 	 -2.999634 	 0.000067 
1.050000 	 0.062315 	 0.003828 	 -2.794930 	 0.003828 
1.100000 	 0.999938 	 0.000068 	 -2.999630 	 0.000068 
1.150000 	 0.999939 	 0.000067 	 -2.999636 	 0.000067 
1.200000 	 0.347884 	 0.005670 	 -2.830480 	 0.005670 
1.250000 	 0.037251 	 0.061773 	 -2.819527 	 0.061773 
1.300000 	 0.999756 	 0.000134 	 -2.998540 	 0.000134 
1.350000 	 0.999691 	 0.000151 	 -2.998153 	 0.000151 
1.400000 	 0.999568 	 0.000180 	 -2.997414 	 0.000180 
1.450000 	 0.999440 	 0.000205 	 -2.996654 	 0.000205 
1.500000 	 0.999311 	 0.000230 	 -2.995885 	 0.000230 
1.550000 	 0.999058 	 0.000270 	 -2.994380 	 0.000270 
