T_f 	 Mprom 	 M^2prom 	 Eprom 	 E^2prom 	 Chi 	 C 
4.000000 	 0.353950 	 0.150069 	 -1.098234 	 1.238247 	 0.024788 	 0.002008 
4.200000 	 0.337086 	 0.139112 	 -1.080757 	 1.199706 	 0.025485 	 0.001795 
4.400000 	 0.348991 	 0.147516 	 -1.094914 	 1.231858 	 0.025721 	 0.001706 
4.600000 	 0.341939 	 0.141984 	 -1.083806 	 1.206660 	 0.025061 	 0.001513 
4.800000 	 0.364935 	 0.158813 	 -1.111137 	 1.269252 	 0.025635 	 0.001503 
5.000000 	 0.343071 	 0.142205 	 -1.083262 	 1.204756 	 0.024508 	 0.001252 
5.200000 	 0.353064 	 0.148515 	 -1.095861 	 1.231422 	 0.023861 	 0.001128 
5.400000 	 0.333965 	 0.138238 	 -1.081799 	 1.202561 	 0.026706 	 0.001107 
5.600000 	 0.365218 	 0.155987 	 -1.109671 	 1.262438 	 0.022603 	 0.000991 
5.800000 	 0.351266 	 0.149185 	 -1.097436 	 1.236590 	 0.025797 	 0.000958 
6.000000 	 0.352204 	 0.147367 	 -1.094513 	 1.228265 	 0.023319 	 0.000842 
