T_f ; Mprom ; M^2prom ; Eprom ; E^2prom ; Chi ; C 
0.05;0.665294;0.444558;-1.663543;2.779213;0.038829;4.735372
0.1;0.561586;0.326446;-1.421139;2.051554;0.11067;3.191701
0.15;0.517457;0.284487;-1.343072;1.843399;0.111507;1.758122
0.2;0.466816;0.238513;-1.261662;1.632435;0.102979;1.016076
0.25;0.465314;0.237192;-1.253045;1.608742;0.082698;0.617932
0.3;0.422377;0.20107;-1.191792;1.457653;0.075561;0.414281
0.35;0.417694;0.196742;-1.184632;1.439362;0.063638;0.293946
0.4;0.395772;0.182634;-1.162792;1.389355;0.064996;0.23294
0.45;0.413059;0.192038;-1.17723;1.420875;0.047599;0.172863
0.5;0.397676;0.182572;-1.159207;1.378882;0.048851;0.140488
0.55;0.391004;0.175665;-1.147213;1.349488;0.041419;0.110383
0.6;0.380419;0.16925;-1.133936;1.320921;0.040886;0.097527
0.65;0.368289;0.162589;-1.123305;1.297435;0.041465;0.084309
0.7;0.386001;0.171127;-1.136283;1.324524;0.031615;0.068131
0.75;0.385012;0.17507;-1.144259;1.347535;0.035782;0.067923
0.8;0.373433;0.164993;-1.12607;1.303161;0.031926;0.054887
0.85;0.358641;0.152478;-1.108601;1.259506;0.028065;0.042228
0.9;0.377966;0.166499;-1.12792;1.305401;0.026267;0.040983
0.95;0.359642;0.155124;-1.111259;1.268758;0.027139;0.037521
1;0.379465;0.170096;-1.134825;1.32324;0.026102;0.035412
1.05;0.356967;0.153612;-1.107826;1.260037;0.02494;0.029712
1.1;0.364682;0.159182;-1.11818;1.284135;0.023808;0.027941
1.15;0.362685;0.158029;-1.115274;1.277746;0.023033;0.02564
1.2;0.358568;0.155103;-1.109835;1.265538;0.02211;0.023475
1.25;0.34556;0.146149;-1.097146;1.238004;0.02139;0.021936
1.3;0.366371;0.158829;-1.113826;1.274467;0.018924;0.020035
1.35;0.378236;0.165385;-1.126062;1.299445;0.016535;0.017246
1.4;0.369023;0.158455;-1.11264;1.269061;0.015912;0.015863
1.45;0.354994;0.154219;-1.110374;1.268509;0.019447;0.016922
1.5;0.365147;0.158446;-1.113469;1.273992;0.016743;0.015191
1.55;0.341346;0.143661;-1.090759;1.224369;0.017512;0.014407
1.6;0.360046;0.156077;-1.108853;1.263829;0.016528;0.013388
1.65;0.371705;0.161894;-1.118225;1.283615;0.014382;0.01219
1.7;0.355681;0.150802;-1.098351;1.237879;0.01429;0.010901
1.75;0.342612;0.143953;-1.092663;1.226572;0.015183;0.010664
1.8;0.34653;0.146242;-1.096153;1.234189;0.014533;0.010074
1.85;0.359353;0.154477;-1.105064;1.254363;0.013698;0.009699
1.9;0.351008;0.150168;-1.100601;1.245649;0.01419;0.009509
1.95;0.346588;0.146415;-1.09475;1.231709;0.013483;0.008739
2;0.376295;0.165307;-1.123248;1.294691;0.011854;0.008252
2.05;0.366238;0.15645;-1.108363;1.259907;0.010888;0.007481
2.1;0.360205;0.155011;-1.105999;1.25595;0.01203;0.007419
2.15;0.331068;0.135801;-1.07804;1.193546;0.012184;0.006787
2.2;0.348207;0.147118;-1.097941;1.23838;0.011759;0.006799
2.25;0.364914;0.160087;-1.115083;1.278249;0.011966;0.006882
2.3;0.364443;0.159496;-1.115034;1.27771;0.011599;0.006505
2.35;0.345652;0.145461;-1.094313;1.228508;0.011058;0.005611
2.4;0.366542;0.158958;-1.113581;1.273718;0.010252;0.005843
2.45;0.360389;0.154188;-1.102319;1.246651;0.009922;0.005255
2.5;0.344147;0.144625;-1.090505;1.221494;0.010475;0.005167
2.55;0.346952;0.14537;-1.091427;1.221914;0.009802;0.004721
