T_f ; Mprom ; M^2prom ; Eprom ; E^2prom ; Chi ; C 
0.005;0.704001;0.495618;-1.795987;3.225569;0.000018;0.024427
0.01;0.713785;0.509497;-1.765349;3.116558;0.000855;1.01956
0.015;0.749995;0.562493;-1.891984;3.579606;0.000015;0.012033
0.02;0.695932;0.484438;-1.761394;3.10326;0.005827;1.880839
0.025;0.714388;0.510564;-1.771709;3.140604;0.008563;2.642024
0.03;0.702855;0.494489;-1.751867;3.071894;0.016158;3.171622
0.035;0.734117;0.539298;-1.836446;3.37542;0.0106;2.357068
0.04;0.668652;0.448247;-1.664211;2.777178;0.028807;4.737386
0.045;0.723538;0.525096;-1.803002;3.260272;0.035295;4.670022
0.05;0.683316;0.469726;-1.693014;2.882225;0.056117;6.371912
0.055;0.662769;0.443171;-1.640633;2.712569;0.071063;6.906139
0.06;0.642803;0.416671;-1.584593;2.526395;0.057931;4.294294
0.065;0.672657;0.457952;-1.676013;2.839978;0.084371;7.327206
0.07;0.617085;0.385995;-1.537063;2.383781;0.07431;4.330265
0.075;0.62319;0.393018;-1.554687;2.439653;0.062021;4.01779
0.08;0.617512;0.388706;-1.53872;2.397675;0.092321;4.689841
0.085;0.576532;0.340603;-1.445067;2.111749;0.096638;3.256623
0.09;0.600832;0.369925;-1.499389;2.282725;0.099177;4.266479
0.095;0.580509;0.346414;-1.459739;2.161248;0.099191;3.369493
0.1;0.589874;0.357256;-1.476155;2.212084;0.093046;3.304895
0.105;0.552519;0.316263;-1.400399;1.991018;0.104629;2.712113
0.11;0.556492;0.321127;-1.408868;2.016397;0.104032;2.602417
0.115;0.550984;0.315676;-1.403249;2.003423;0.105155;2.594857
0.12;0.543376;0.308311;-1.385558;1.953453;0.108773;2.339077
0.125;0.551855;0.321553;-1.415022;2.053183;0.13607;3.257247
0.13;0.530937;0.294935;-1.360296;1.882921;0.100311;1.924024
0.135;0.526351;0.290561;-1.354657;1.869461;0.100115;1.885569
0.14;0.51278;0.276752;-1.333561;1.812587;0.098634;1.745037
0.145;0.527294;0.294822;-1.36041;1.889807;0.115743;1.859319
0.15;0.520462;0.287247;-1.347779;1.858103;0.109109;1.848664
0.155;0.507234;0.276867;-1.332263;1.820066;0.126326;1.87898
0.16;0.507547;0.274863;-1.32675;1.800965;0.107866;1.589879
0.165;0.505763;0.272011;-1.320413;1.782076;0.098277;1.417291
0.17;0.482768;0.250271;-1.279143;1.670436;0.10121;1.184421
0.175;0.480426;0.251041;-1.284914;1.690934;0.115608;1.303891
0.18;0.477001;0.247458;-1.278325;1.671702;0.110712;1.16012
0.185;0.481192;0.249416;-1.277376;1.666537;0.096596;1.01822
0.19;0.476802;0.247003;-1.277089;1.668374;0.103485;1.03649
0.195;0.468062;0.239408;-1.26431;1.636482;0.104235;0.999424
0.2;0.487922;0.256176;-1.289279;1.701705;0.09054;0.986602
0.205;0.473223;0.242812;-1.266269;1.64261;0.092062;0.932125
0.21;0.468497;0.238872;-1.259424;1.623017;0.092298;0.835991
0.215;0.442032;0.21849;-1.22845;1.54783;0.107429;0.838058
0.22;0.456423;0.230053;-1.249313;1.600243;0.098775;0.815285
0.225;0.470964;0.242024;-1.264027;1.635876;0.08985;0.752798
0.23;0.465978;0.237189;-1.257252;1.617707;0.08719;0.699913
0.235;0.442785;0.218395;-1.225683;1.539011;0.09505;0.66477
0.24;0.463131;0.234754;-1.252364;1.607719;0.08443;0.682373
0.245;0.449048;0.221397;-1.225836;1.537313;0.080623;0.577091
