T_f ; Mprom ; M^2prom ; Eprom ; E^2prom ; Chi ; C 
3;0.704009;0.495633;-1.795193;3.222755;0.000002;0.000004
3.2;0.713633;0.509286;-1.76417;3.112444;0.000004;0.000015
3.4;0.749998;0.562497;-1.891994;3.579641;0;0
3.6;0.695695;0.484093;-1.765281;3.116819;0.000028;0.000047
3.8;0.714991;0.511402;-1.773523;3.146867;0.00005;0.000103
4;0.694764;0.483565;-1.731008;3.001627;0.000217;0.000327
4.2;0.685787;0.474727;-1.70556;2.93514;0.001053;0.001486
4.4;0.470303;0.242035;-1.268936;1.648379;0.004739;0.001972
4.6;0.268711;0.093037;-0.982978;0.988378;0.004528;0.001046
4.8;0.146927;0.033157;-0.839063;0.713634;0.00241;0.000417
5;0.107149;0.019089;-0.76336;0.590412;0.001522;0.000308
5.2;0.092841;0.013394;-0.717596;0.520062;0.000918;0.000189
5.4;0.084983;0.010441;-0.705141;0.500238;0.000596;0.000103
5.6;0.085796;0.010762;-0.695476;0.485191;0.000607;0.000048
5.8;0.067787;0.007142;-0.686274;0.472301;0.000439;0.00004
6;0.078588;0.008268;-0.671728;0.45234;0.000349;0.000031
6.2;0.073144;0.006173;-0.621528;0.387316;0.000133;0.000026
6.4;0.091884;0.009407;-0.671263;0.451143;0.000151;0.000013
6.6;0.047222;0.00324;-0.646029;0.418085;0.000153;0.000017
6.8;0.068201;0.006941;-0.689561;0.475889;0.000337;0.000009
7;0.023602;0.000813;-0.585318;0.34271;0.000037;0.000002
7.2;0.092925;0.010035;-0.651143;0.424331;0.000194;0.000007
7.4;0.080634;0.006594;-0.575155;0.330926;0.000012;0.000002
