T_f ; Mprom ; M^2prom ; Eprom ; E^2prom ; Chi ; C 
0.5;0.397862;0.182228;-1.157802;1.376286;0.023934;0.143124
1;0.356049;0.152141;-1.10544;1.255087;0.025371;0.033089
1.5;0.360194;0.155476;-1.109682;1.265588;0.025737;0.015197
2;0.348892;0.146828;-1.09296;1.227312;0.025103;0.008188
2.5;0.369952;0.162429;-1.117814;1.284544;0.025564;0.005606
3;0.346277;0.144434;-1.087457;1.214185;0.024526;0.003514
3.5;0.355238;0.150043;-1.09872;1.237897;0.023849;0.002507
4;0.335611;0.139366;-1.083896;1.207272;0.026731;0.002028
4.5;0.366211;0.156701;-1.111029;1.26554;0.022591;0.001539
5;0.351952;0.14966;-1.098326;1.238598;0.02579;0.001291
5.5;0.35255;0.14761;-1.094973;1.229302;0.023319;0.001003
6;0.342471;0.142168;-1.083621;1.206087;0.024882;0.000885
6.5;0.331877;0.137125;-1.076251;1.190562;0.026983;0.000763
7;0.355764;0.149284;-1.094711;1.229596;0.022715;0.000637
7.5;0.351448;0.150993;-1.099844;1.245335;0.027477;0.000634
8;0.344614;0.144731;-1.087925;1.216214;0.025972;0.00051
8.5;0.334735;0.135953;-1.077353;1.189185;0.023906;0.000394
9;0.353949;0.149121;-1.095773;1.231783;0.023841;0.000384
9.5;0.335878;0.138573;-1.080262;1.198515;0.025759;0.00035
10;0.355851;0.153104;-1.103897;1.251867;0.026474;0.000333
10.5;0.335576;0.138827;-1.080465;1.19845;0.026216;0.000282
