T_f ; Mprom ; M^2prom ; Eprom ; E^2prom ; Chi ; C 
4;0,857458;0,735294;-1,415283;2,003736;0,00006;0,000044
4,2;0,857169;0,734801;-1,414196;2,000684;0,000062;0,000042
4,4;0,856926;0,734384;-1,413594;1,998976;0,000062;0,000038
4,6;0,857257;0,734949;-1,414648;2,001933;0,000059;0,000033
4,8;0,857415;0,735222;-1,415118;2,003287;0,000061;0,000032
5;0,857293;0,735013;-1,414682;2,00206;0,000063;0,000029
5,2;0,857067;0,734623;-1,41401;2,000121;0,000059;0,000026
5,4;0,857432;0,735251;-1,415204;2,003528;0,000061;0,000025
5,6;0,856961;0,734445;-1,413599;1,998992;0,000063;0,000023
5,8;0,857175;0,734809;-1,414446;2,001376;0,00006;0,000021
6;0,857258;0,73495;-1,414557;2,001669;0,000058;0,000019
