T_f ; Mprom ; M^2prom ; Eprom ; E^2prom ; Chi ; C 
0.5;0.289317;0.096249;-1.064685;1.139334;0.012545;0.023121
1;0.255188;0.07636;-1.037779;1.082054;0.011239;0.005069
1.5;0.243348;0.073867;-1.036694;1.080132;0.014649;0.002399
2;0.293861;0.096949;-1.062259;1.133775;0.010595;0.001345
2.5;0.278981;0.090263;-1.054684;1.118241;0.012432;0.000941
3;0.287463;0.092032;-1.055161;1.118179;0.009397;0.000535
3.5;0.267931;0.084959;-1.045968;1.099762;0.013172;0.000466
4;0.2661;0.085963;-1.048771;1.105897;0.015154;0.000373
4.5;0.254589;0.077926;-1.038031;1.082907;0.013111;0.000267
5;0.267444;0.085702;-1.049569;1.107883;0.014176;0.000252
5.5;0.286255;0.089867;-1.054514;1.116684;0.007925;0.000155
6;0.285555;0.094012;-1.058593;1.126332;0.012471;0.000159
6.5;0.261459;0.082115;-1.044137;1.09621;0.013754;0.000142
7;0.237656;0.067668;-1.02991;1.064938;0.011188;0.000086
7.5;0.278374;0.091944;-1.054654;1.118614;0.014452;0.000112
8;0.248988;0.07719;-1.039352;1.086202;0.015195;0.000093
8.5;0.275678;0.09047;-1.056304;1.121643;0.014472;0.000081
9;0.27564;0.086794;-1.049996;1.107727;0.010817;0.000065
9.5;0.268871;0.086397;-1.049942;1.108575;0.014106;0.000069
10;0.261193;0.080193;-1.044092;1.095453;0.011971;0.000053
10.5;0.286384;0.095144;-1.061038;1.132234;0.013128;0.000058
